Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Geocode,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
KZY84HSH,book,,"Cotter, John Lambert; American Revolution Bicentennial Commission; Society for American Archaeology; American Association for Museums; American Society for State and Local History",Above ground archaeology,,,,,,,,2025-03-24 19:18:22,2025-03-24 19:18:27,,,16,,,,,,,,,,"For sale by Supt. of Docs., U.S. Govt. Print. Off","Washington, D.C.","38.8950368,-77.0365427",,,,,,Library Catalog (Blacklight),,,,,https://catalog.libraries.psu.edu/catalog/258708,interlibrary,Archaeology,,,,American Revolution Bicentennial Commission; Society for American Archaeology; American Association for Museums; American Society for State and Local History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHIIIFCG,book,1985,,Contributions to Aegean archaeology: studies in honor of William A. McDonald,,978-0-8403-3526-5,,,,,1985,2025-03-24 19:17:57,2025-03-24 19:18:04,,,297,,,,,Contributions to Aegean archaeology,Publications in ancient studies,no. 1,,,Kendall/Hunt Pub. Co,"Dubuque, Iowa","42.5006243,-90.6647985",,,,,,Library Catalog (Blacklight),CC75 .C593 1985,,,,https://catalog.libraries.psu.edu/catalog/814017,interlibrary,"Archaeology; Aegean Sea Region; Antiquities; Greece; McDonald, William A; Methodology; William Andrew","McDonald, William A.; Wilkie, Nancy C.; Coulson, William D. E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB5W8I4E,book,1965,"Clark, Grahame",Archaeology and society: reconstructing the prehistoric past,,,,,,,1965,2025-03-24 19:17:30,2025-03-24 19:17:39,,,272,,,,,Archaeology and society,,,,,Barnes & Noble,New York,"40.7127281,-74.0060152",,,,,,Library Catalog (Blacklight),,,,,https://catalog.libraries.psu.edu/catalog/97493,physical,Archaeology,,,,,,,,,,,,,,,,,,,,3d ed. rev. and reset,,,,,,,,,,,,,,,,,,,,,,,,,,
6LEL99XI,book,1988,,Wet site archaeology,,978-0-936923-07-9 978-0-936923-08-6,,,,,1988,2025-03-24 19:16:40,2025-03-24 19:16:46,,,338,,,,,,,,,,Telford Press,"Caldwell, N.J","40.8398218,-74.2765366",,,,,,Library Catalog (Blacklight),CC77.W48 W48 1988,Meeting Name: International Conference on Wet Site Archaeology,,,https://catalog.libraries.psu.edu/catalog/1382159,interlibrary,Archaeology; Methodology; Congresses; Water-saturated sites (Archaeology); Wetlands,"Purdy, Barbara A.; National Endowment for the Humanities; University of Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3X4GUZH5,book,1984,"Coles, John",The archaeology of wetlands,,978-0-85224-503-3 978-0-85224-489-0,,,,,1984,2025-03-24 19:16:16,2025-03-24 19:16:25,,,111,,,,,,,,,,Edinburgh University Press,Edinburgh,"55.9533456,-3.1883749",,,,,,Library Catalog (Blacklight),CC75.7 .C65 1984,,,,https://catalog.libraries.psu.edu/catalog/988215,interlibrary,Archaeology; Methodology; Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9TMSEGK,thesis,1991,"Klinken, G. J. van",Dating and dietary reconstruction by isotopic analysis of amino acids in fossil bone collagen-with special reference to the Caribbean,,,,,,,1991,2025-03-24 19:13:23,2025-03-24 19:13:30,,,113,,,,,,,,,,Fondation for Scientific Research in the Caribbean Region,Amsterdam,"52.3730796,4.8924534",,,,,,Library Catalog (Blacklight),CC78 .K55 1991,Series Number: 128 Series: Publications / Foundation for Scientific Research in the Caribbean Region = Uitgaven / Natuurwetenschappelijke Studiekring voor het Caraïbisch gebied,,,https://catalog.libraries.psu.edu/catalog/1858377,interlibrary,Antiquities; Amino acids; Analysis; Archaeological dating; Caribbean Area; Food; Fossil hominids; Indians; Prehistoric peoples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYUFPJCY,book,1987,"Gräslund, Bo",The birth of prehistoric chronology: dating methods and dating systems in nineteenth-century Scandinavian archaeology,,978-0-521-32249-2,,,,,1987,2025-03-24 19:12:37,2025-03-24 19:12:53,,,132,,,,,The birth of prehistoric chronology,New studies in archaeology,,,,Cambridge University Press,Cambridge [Cambridgeshire] ; New York,#N/A,,,,,,Library Catalog (Blacklight),CC78 .G72 1987,,,,https://catalog.libraries.psu.edu/catalog/998432,interlibrary,"Archaeology; Antiquities; Archaeological dating; 19th century; Anthropology, Prehistoric; History; Scandinavia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKITDNVX,book,1978,"Trigger, Bruce G.",Time and traditions: essays in archaeological interpretation,,978-0-231-04548-3,,,,,1978,2025-03-24 18:54:41,2025-03-24 18:54:48,,,273,,,,,Time and traditions,,,,,Columbia University Press,New York,#N/A,,,,,,Library Catalog (Blacklight),CC75 .T68 1978,,,,https://catalog.libraries.psu.edu/catalog/848187,physical,Archaeology; Methodology; History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8VR8EGQT,book,1975,"Fagan, Brian M.",In the beginning: an introduction to archaeology,,,,,,,1975,2025-03-24 18:53:49,2025-03-24 18:53:58,,,410,,,,,In the beginning,,,,,"Little, Brown",Boston,"42.3554334,-71.060511",,,,,,Library Catalog (Blacklight),CC75 .F34 1975,,,,https://catalog.libraries.psu.edu/catalog/642062,physical,Archaeology; Methodology; History,,,,,,,,,,,,,,,,,,,,2d ed,,,,,,,,,,,,,,,,,,,,,,,,,,
XXENI48J,book,1971,,Dating techniques for the archaeologist,,978-0-262-13074-5,,,,,1971,2025-03-24 18:53:14,2025-03-24 18:53:14,,,226,,,,,,,,,,MIT Press,Cambridge,"52.2055314,0.1186637",,,,,,Library Catalog (Blacklight),CC75 .D36,,,,https://catalog.libraries.psu.edu/catalog/642045,,Archaeology; Methodology,"Michael, Henry N.; Ralph, Elizabeth K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
